Date,Confirmed cases,Deaths,Recovered,Daily New Cases,Daily Deaths,Active Cases,Open,High,Low,Close,Adj Close,Volume
2020-06-23,2348750,123752,647548,38829,731,1577450,3138.699951171875,3154.89990234375,3127.1201171875,3131.2900390625,3131.2900390625,4711850000
2020-06-24,2385029,124507,656161,36279,755,1604361,3114.39990234375,3115.010009765625,3032.1298828125,3050.330078125,3050.330078125,5597680000
2020-06-25,2424386,125058,663562,39357,551,1635766,3046.60009765625,3086.25,3024.010009765625,3083.760009765625,3083.760009765625,4847690000
2020-06-26,2473472,125687,670809,49086,629,1676976,3073.199951171875,3073.72998046875,3004.6298828125,3009.050048828125,3009.050048828125,8107850000
2020-06-29,2598741,126881,705203,41518,369,1766657,3018.590087890625,3053.889892578125,2999.739990234375,3053.239990234375,3053.239990234375,4473970000
2020-06-30,2648797,127432,720631,50056,551,1800734,3050.199951171875,3111.510009765625,3047.830078125,3100.2900390625,3100.2900390625,4705850000
2020-07-01,2698127,128134,729994,49330,702,1839999,3105.919921875,3128.43994140625,3101.169921875,3115.860107421875,3115.860107421875,4449230000
2020-07-02,2753211,128883,781970,55084,749,1842358,3143.639892578125,3165.81005859375,3124.52001953125,3130.010009765625,3130.010009765625,4197720000
2020-07-06,2948475,130575,924148,43632,374,1893752,3155.2900390625,3182.590087890625,3155.2900390625,3179.719970703125,3179.719970703125,4759160000
2020-07-07,3005888,131719,936476,57413,1144,1937693,3166.43994140625,3184.14990234375,3142.929931640625,3145.320068359375,3145.320068359375,4571330000
2020-07-08,3066392,132562,953462,60504,843,1980368,3153.070068359375,3171.800048828125,3136.530029296875,3169.93994140625,3169.93994140625,4937310000
2020-07-09,3126224,133601,969111,59832,1039,2023512,3176.169921875,3179.780029296875,3115.699951171875,3152.050048828125,3152.050048828125,4843650000
2020-07-10,3194746,134402,983185,68522,801,2077159,3152.469970703125,3186.820068359375,3136.219970703125,3185.0400390625,3185.0400390625,4524190000
2020-07-13,3375032,136084,1031939,59625,452,2207009,3205.080078125,3235.320068359375,3149.429931640625,3155.219970703125,3155.219970703125,4902440000
2020-07-14,3440789,136988,1049098,65757,904,2254703,3141.110107421875,3200.949951171875,3127.659912109375,3197.52001953125,3197.52001953125,4507140000
2020-07-15,3507088,137942,1075882,66299,954,2293264,3225.97998046875,3238.280029296875,3200.760009765625,3226.56005859375,3226.56005859375,4686830000
2020-07-16,3577862,138903,1090645,70774,961,2348314,3208.360107421875,3220.389892578125,3198.590087890625,3215.570068359375,3215.570068359375,3972860000
2020-07-17,3644284,139844,1107204,66422,941,2397236,3224.2099609375,3233.52001953125,3205.64990234375,3224.72998046875,3224.72998046875,4012850000
2020-07-20,3828458,141750,1160087,60856,553,2526621,3224.2900390625,3258.610107421875,3215.159912109375,3251.840087890625,3251.840087890625,3979340000
2020-07-21,3896753,142823,1182018,68295,1073,2571912,3268.52001953125,3277.2900390625,3247.77001953125,3257.300048828125,3257.300048828125,4556610000
2020-07-22,3964203,144066,1210849,67450,1243,2609288,3254.860107421875,3279.320068359375,3253.10009765625,3276.02001953125,3276.02001953125,4267160000
2020-07-23,4031970,145122,1233269,67767,1056,2653579,3271.639892578125,3279.989990234375,3222.659912109375,3235.659912109375,3235.659912109375,4296760000
2020-07-24,4106919,146232,1261624,74949,1110,2699063,3218.580078125,3227.260009765625,3200.050048828125,3215.6298828125,3215.6298828125,3689410000
2020-07-27,4286302,148848,1325804,59997,1104,2811650,3219.840087890625,3241.429931640625,3214.25,3239.409912109375,3239.409912109375,3970310000
2020-07-28,4350866,150063,1355363,64564,1215,2845440,3234.27001953125,3243.719970703125,3216.169921875,3218.43994140625,3218.43994140625,4053180000
2020-07-29,4414918,151477,1389425,64052,1414,2874016,3227.219970703125,3264.739990234375,3227.219970703125,3258.43994140625,3258.43994140625,4478200000
2020-07-30,4484122,152778,1414155,69204,1301,2917189,3231.760009765625,3250.919921875,3204.1298828125,3246.219970703125,3246.219970703125,4264920000
2020-07-31,4548497,153969,1438160,64375,1191,2956368,3270.449951171875,3272.169921875,3220.260009765625,3271.1201171875,3271.1201171875,5007530000
2020-08-03,4694706,156127,1513446,41896,592,3025133,3288.260009765625,3302.72998046875,3284.530029296875,3294.610107421875,3294.610107421875,4438940000
2020-08-04,4756327,157375,1528979,61621,1248,3069973,3289.919921875,3306.840087890625,3286.3701171875,3306.510009765625,3306.510009765625,4414380000
2020-08-05,4810464,158770,1577851,54137,1395,3073843,3317.3701171875,3330.77001953125,3317.3701171875,3327.77001953125,3327.77001953125,4535060000
2020-08-06,4870500,159971,1598624,60036,1201,3111905,3323.169921875,3351.030029296875,3318.139892578125,3349.159912109375,3349.159912109375,4278930000
2020-08-07,4930941,161266,1623870,60441,1295,3145805,3340.050048828125,3352.5400390625,3328.719970703125,3351.280029296875,3351.280029296875,4110030000
2020-08-10,5100508,163440,1670755,51637,524,3266313,3356.0400390625,3363.2900390625,3335.43994140625,3360.469970703125,3360.469970703125,4327920000
2020-08-11,5157384,164517,1714960,56876,1077,3277907,3370.340087890625,3381.010009765625,3326.43994140625,3333.68994140625,3333.68994140625,4880540000
2020-08-12,5212606,166049,1753760,55222,1532,3292797,3355.4599609375,3387.889892578125,3355.4599609375,3380.35009765625,3380.35009765625,3772250000
2020-08-13,5264052,167077,1774648,51446,1028,3322327,3372.949951171875,3387.239990234375,3363.35009765625,3373.429931640625,3373.429931640625,3438730000
2020-08-14,5334124,168363,1796326,70072,1286,3369435,3368.659912109375,3378.510009765625,3361.639892578125,3372.85009765625,3372.85009765625,3200060000
2020-08-17,5459023,170493,1865580,37997,459,3422950,3380.860107421875,3387.590087890625,3379.219970703125,3381.989990234375,3381.989990234375,3460330000
2020-08-18,5503998,171720,1898159,44975,1227,3434119,3387.0400390625,3395.06005859375,3370.14990234375,3389.780029296875,3389.780029296875,3669550000
2020-08-19,5549913,172421,1925049,45915,701,3452443,3392.510009765625,3399.5400390625,3369.659912109375,3374.85009765625,3374.85009765625,3679480000
2020-08-20,5595048,173501,1947035,45135,1080,3474512,3360.47998046875,3390.800048828125,3354.68994140625,3385.510009765625,3385.510009765625,3431040000
2020-08-21,5642948,174616,1965056,47900,1115,3503276,3386.010009765625,3399.9599609375,3379.31005859375,3397.159912109375,3397.159912109375,3505010000
2020-08-24,5754213,176511,2020774,34091,454,3556928,3418.090087890625,3432.090087890625,3413.1298828125,3431.280029296875,3431.280029296875,3743410000
2020-08-25,5796775,177729,2053699,42562,1218,3565347,3435.949951171875,3444.2099609375,3425.840087890625,3443.6201171875,3443.6201171875,3627650000
2020-08-26,5838967,178872,2084465,42192,1143,3575630,3449.969970703125,3481.070068359375,3444.14990234375,3478.72998046875,3478.72998046875,3780530000
2020-08-27,5889404,179979,2101326,50437,1107,3608099,3485.139892578125,3501.3798828125,3468.35009765625,3484.550048828125,3484.550048828125,3955890000
2020-08-28,5935724,180906,2118367,46320,927,3636451,3494.68994140625,3509.22998046875,3484.320068359375,3508.010009765625,3508.010009765625,3868510000
2020-08-31,6046489,182794,2184825,33526,485,3678870,3509.72998046875,3514.77001953125,3493.25,3500.31005859375,3500.31005859375,4348280000
2020-09-01,6088458,183855,2202663,41969,1061,3701940,3507.43994140625,3528.030029296875,3494.60009765625,3526.64990234375,3526.64990234375,4101490000
2020-09-02,6128576,184927,2231757,40118,1072,3711892,3543.760009765625,3588.110107421875,3535.22998046875,3580.840087890625,3580.840087890625,4295640000
2020-09-03,6173787,185950,2266957,45211,1023,3720880,3564.739990234375,3564.85009765625,3427.409912109375,3455.06005859375,3455.06005859375,4911830000
2020-09-04,6222446,186900,2283454,48659,950,3752092,3453.60009765625,3479.14990234375,3349.6298828125,3426.9599609375,3426.9599609375,4438720000
2020-09-08,6346567,188923,2359111,27103,473,3798533,3371.8798828125,3379.969970703125,3329.27001953125,3331.840087890625,3331.840087890625,4694330000
2020-09-09,6380418,190023,2387479,33851,1100,3802916,3369.820068359375,3424.77001953125,3366.840087890625,3398.9599609375,3398.9599609375,3932520000
2020-09-10,6420040,190930,2403511,39622,907,3825599,3412.56005859375,3425.550048828125,3329.25,3339.18994140625,3339.18994140625,4208630000
2020-09-11,6464865,192072,2417878,44825,1142,3854915,3352.699951171875,3368.949951171875,3310.469970703125,3340.969970703125,3340.969970703125,3710090000
2020-09-14,6583689,193626,2474570,32901,424,3915493,3363.56005859375,3402.929931640625,3363.56005859375,3383.5400390625,3383.5400390625,3839580000
2020-09-15,6621128,194815,2495127,37439,1189,3931186,3407.72998046875,3419.47998046875,3389.25,3401.199951171875,3401.199951171875,4057190000
2020-09-16,6659477,195747,2525573,38349,932,3938157,3411.22998046875,3428.919921875,3384.449951171875,3385.489990234375,3385.489990234375,4718900000
2020-09-17,6704918,196594,2540334,45441,847,3967990,3346.860107421875,3375.169921875,3328.820068359375,3357.010009765625,3357.010009765625,4379840000
2020-09-18,6755145,197549,2556465,50227,955,4001131,3357.3798828125,3362.27001953125,3292.39990234375,3319.469970703125,3319.469970703125,7076400000
2020-09-21,6874665,198885,2615949,32260,411,4059831,3285.570068359375,3285.570068359375,3229.10009765625,3281.06005859375,3281.06005859375,4836070000
2020-09-22,6912973,199907,2646959,38308,1022,4066107,3295.75,3320.31005859375,3270.949951171875,3315.570068359375,3315.570068359375,3974510000
2020-09-23,6954203,200959,2670256,41230,1052,4082988,3320.110107421875,3323.35009765625,3232.570068359375,3236.919921875,3236.919921875,4378650000
2020-09-24,7003200,201855,2710183,48997,896,4091162,3226.139892578125,3278.699951171875,3209.449951171875,3246.590087890625,3246.590087890625,4601920000
2020-09-25,7050826,202767,2727335,47626,912,4120724,3236.659912109375,3306.8798828125,3228.43994140625,3298.4599609375,3298.4599609375,3803330000
2020-09-28,7164994,204173,2794608,36571,338,4166213,3333.89990234375,3360.739990234375,3332.909912109375,3351.60009765625,3351.60009765625,3950910000
2020-09-29,7207284,205052,2813305,42290,879,4188927,3350.919921875,3357.919921875,3327.5400390625,3335.469970703125,3335.469970703125,3661590000
2020-09-30,7246200,205957,2840688,38916,905,4199555,3341.2099609375,3393.56005859375,3340.469970703125,3363.0,3363.0,4738640000
2020-10-01,7292562,206852,2860650,46362,895,4225060,3385.8701171875,3397.179931640625,3361.389892578125,3380.800048828125,3380.800048828125,4076340000
2020-10-02,7346109,207741,2873369,53547,889,4264999,3338.93994140625,3369.10009765625,3323.68994140625,3348.419921875,3348.419921875,3975180000
2020-10-05,7466806,209272,2935142,37947,474,4322392,3367.27001953125,3409.570068359375,3367.27001953125,3408.60009765625,3408.60009765625,3692720000
2020-10-06,7511827,209960,2952390,45021,688,4349477,3408.739990234375,3431.56005859375,3354.5400390625,3360.969970703125,3360.969970703125,4453390000
2020-10-07,7561294,210863,2999895,49467,903,4350536,3384.56005859375,3426.260009765625,3384.56005859375,3419.43994140625,3419.43994140625,3814750000
2020-10-08,7619507,211836,3021252,58213,973,4386419,3434.280029296875,3447.280029296875,3428.14990234375,3446.830078125,3446.830078125,3867640000
2020-10-09,7674838,212786,3039089,55331,950,4422963,3459.669921875,3482.340087890625,3458.070068359375,3477.139892578125,3477.139892578125,3944090000
2020-10-12,7819927,214290,3106728,42955,393,4498909,3500.02001953125,3549.85009765625,3499.610107421875,3534.219970703125,3534.219970703125,3435760000
2020-10-13,7870523,215042,3124593,50596,752,4530888,3534.010009765625,3534.010009765625,3500.860107421875,3511.929931640625,3511.929931640625,3611100000
2020-10-14,7929694,216028,3155794,59171,986,4557872,3515.469970703125,3527.93994140625,3480.550048828125,3488.669921875,3488.669921875,3858510000
2020-10-15,7993556,216867,3177397,63862,839,4599292,3453.719970703125,3489.080078125,3440.889892578125,3483.340087890625,3483.340087890625,3724550000
2020-10-16,8063866,217793,3197539,70310,926,4648534,3493.5,3515.760009765625,3480.449951171875,3483.81005859375,3483.81005859375,4688030000
2020-10-19,8239747,219552,3272603,68737,510,4747592,3493.659912109375,3502.419921875,3419.929931640625,3426.919921875,3426.919921875,4091080000
